Source,Target,Weight,Type
dumas_-_Le_vicomte_de_Bragelonne,_Tome_IV.,dumas_-_Le_Collier_de_la_Reine,_Tome_II,2,undirected
dumas_-_Le_vicomte_de_Bragelonne,_Tome_IV.,dumas_-_Le_vicomte_de_Bragelonne,_Tome_I.,5,undirected
dumas_-_Le_vicomte_de_Bragelonne,_Tome_IV.,dumas_-_Le_vicomte_de_Bragelonne,_Tome_III.,1,undirected
dumas_-_Le_vicomte_de_Bragelonne,_Tome_IV.,dumas_-_Les_quarante-cinq_—_Tome_2,2,undirected
dumas_-_Les_compagnons_de_Jéhu,dumas_-_Bric-à-brac,3,undirected
dumas_-_Les_compagnons_de_Jéhu,dumas_-_La_San-Felice,_Tome_02,5,undirected
dumas_-_Les_compagnons_de_Jéhu,dumas_-_la_San-Felice,_Tome_04,3,undirected
dumas_-_Les_compagnons_de_Jéhu,dumas_-_Le_comte_de_Moret,2,undirected
dumas_-_Les_Femmes_qui_tuent_et_les_Femmes_qui_votent,hugo_-_Littérature_et_Philosophie_mêlées,3,undirected
dumas_-_Les_Femmes_qui_tuent_et_les_Femmes_qui_votent,zola_-_La vérité en marche,1,undirected
dumas_-_Les_Femmes_qui_tuent_et_les_Femmes_qui_votent,zola_-_Le Naturalisme au théâtre, les théories et les exemples,2,undirected
